hr,ndcg,loss
0.10943708609271523,0.053013790378824505,1.0
0.47218543046357614,0.25904391747468464,0.5401730025280894
0.5139072847682119,0.29024990581018195,0.3475224070683625
0.5445364238410596,0.3104982827912596,0.31525214455169154
0.5640728476821192,0.3233754748539833,0.30004138276716064
0.5841059602649007,0.33447108957856075,0.2894337014002756
0.5918874172185431,0.3397960507459948,0.2823031691509096
0.6029801324503311,0.3446315955510507,0.2781740634848218
0.6099337748344371,0.3502331505888144,0.27514996281221327
0.6195364238410596,0.35464415058545,0.27382349530487854
0.6188741721854305,0.3558477549887616,0.2725228608572231
0.6187086092715232,0.3563583233906571,0.27132063452010713
0.6251655629139072,0.3573340059669084,0.2700657722022655
0.6269867549668874,0.35720341164197306,0.2691481671253703
0.6263245033112583,0.35857352067967174,0.2686176363847452
0.6296357615894039,0.3610910225504585,0.2683007355297291
0.6274834437086093,0.35984283706991166,0.26787613152801265
0.6264900662251656,0.3587657254251786,0.2673815256978984
0.6309602649006623,0.3615638972953102,0.267279813516225
0.6286423841059603,0.360711276502904,0.2669903808404389
0.6302980132450331,0.36172841804924993,0.2663995655362689
