hr,ndcg,loss
0.09804144195288107,0.04561798054237898,1.0
0.6267953448765257,0.40533684162690137,0.4738613336708791
0.6333806414987226,0.4052632052487635,0.36770249079613904
0.6211751348282714,0.3937504018844854,0.34032702241480867
0.6089128583593528,0.3828191041405507,0.3089150854291885
0.5519727504967358,0.346317290861882,0.2615493466277753
0.5444791370990633,0.34011181039577565,0.19299675039492106
0.528583593528243,0.318835764560502,0.13367870822441424
0.5519727504967358,0.32943843788794425,0.09842474765895681
0.5507805847289242,0.331020546451407,0.07915205324724092
0.5603179108714164,0.3397562915987014,0.06466505210857203
0.5758728356514334,0.35393245581364885,0.05691006781588339
0.5707067839909168,0.35362875936423294,0.04989202233068146
0.5287539029236447,0.3247442864315253,0.04274132661707077
0.5616236162361624,0.3523560252980025,0.03937223951227193
0.5502128867442521,0.34288332892576073,0.03557077161982035
0.5287539029236447,0.33126165772985755,0.03230266489804312
0.5504967357365881,0.3503336480320357,0.029261430325746317
0.5129151291512916,0.3203921939220784,0.027892039558712986
0.506727221118365,0.31827304755014585,0.026275720737787875
0.5261992619926199,0.3357924698666565,0.02354229789848707
