,hr,ndcg,loss
0,0.08327814569536424,0.03771611933168191,1.0
1,0.5740066225165563,0.321929058852463,0.36435195821731664
2,0.6231788079470199,0.35497040269692753,0.31859852360577046
3,0.6384105960264901,0.36486264503420685,0.3030390102863067
4,0.6508278145695364,0.3724048621273912,0.2951716544040966
5,0.6556291390728477,0.3768445578660419,0.29051381833525
6,0.6637417218543047,0.3796081108072338,0.287395264730109
7,0.6642384105960265,0.382092014231879,0.28522303617134076
8,0.6637417218543047,0.3848344067783097,0.2839543304592535
9,0.6625827814569536,0.3851102325443532,0.28284386191668554
10,0.6639072847682119,0.38516248603065145,0.2820751654503061
11,0.6672185430463576,0.3866917511832654,0.28121309330264244
12,0.6705298013245033,0.38688247182200214,0.280625470769426
13,0.669205298013245,0.3890367580815581,0.2802730574701524
14,0.6716887417218543,0.3874425719596342,0.279816068664523
15,0.6716887417218543,0.38968224027010323,0.27960164309789987
16,0.671523178807947,0.3857773559778871,0.2796066819913431
17,0.6741721854304635,0.3868457547551457,0.27912723105155757
18,0.672682119205298,0.387904235344453,0.27898442663044454
19,0.6667218543046357,0.3861980399755242,0.2790561469067438
20,0.6683774834437086,0.3848807768531719,0.2786465388348179
