hr,ndcg,loss
0.07635206786850478,0.03347615963096525,1.0
0.3944856839872747,0.21446462794578897,0.40265773143397604
0.545068928950159,0.2953760418508943,0.330932824900935
0.5832449628844114,0.32089979541282554,0.2922523114683699
0.6023329798515377,0.3396762020302703,0.2748177957010451
0.6150583244962884,0.3445963118421352,0.2650240318120529
0.6341463414634146,0.34797279631549843,0.25954064231475016
0.6277836691410392,0.35265524549416966,0.2552153627906308
0.6394485683987274,0.36033967949904494,0.253403222323594
0.623541887592789,0.35476995256578214,0.25098170676859294
0.6320254506892895,0.3625323341201545,0.25038743994150237
0.6341463414634146,0.35741326799966994,0.24942011224989713
0.6394485683987274,0.3630598923124403,0.24726337027128298
0.6362672322375398,0.36743889430623916,0.24691938891773257
0.6299045599151644,0.3639887436947698,0.2462204118084705
0.633085896076352,0.3628297296063234,0.24613729844699184
0.6436903499469777,0.364040704552498,0.24607475624364683
0.630965005302227,0.36726826978692045,0.2455469597843564
0.6352067868504772,0.3629326023069062,0.2439376574517697
0.6415694591728526,0.36959895195641324,0.24334473382825908
0.6383881230116649,0.36673248180813023,0.24351109689408096
0.630965005302227,0.36603424789553574,0.24361082603897802
0.6426299045599152,0.3746142684803453,0.24358038119877357
0.6500530222693531,0.3745134809149904,0.24270587804443666
0.633085896076352,0.36623179332771844,0.24205046407829134
0.6362672322375398,0.3704498509722454,0.24133227883680927
0.630965005302227,0.364644855725066,0.2416185177489803
0.6352067868504772,0.3713666116434617,0.24115895611960614
0.6341463414634146,0.37118591493254455,0.24118208352627954
0.6320254506892895,0.36695378461677425,0.2407511766081772
0.630965005302227,0.3699226899442911,0.2406235788126686
0.6299045599151644,0.3690129614520707,0.2403547011931759
0.6362672322375398,0.3686410941873004,0.24073483294156098
0.6362672322375398,0.3689203296238115,0.23955288060090035
0.6373276776246023,0.36978490337268044,0.24029523880079384
0.6299045599151644,0.36183052081520733,0.23993127294504452
0.6341463414634146,0.36727684550377193,0.23930017650115376
0.6341463414634146,0.3713993515375075,0.23939133508643443
0.6426299045599152,0.3685242178676824,0.23891559742654436
0.6341463414634146,0.370466441389874,0.23836044772439668
0.6436903499469777,0.3757924321247198,0.23860276911863476
0.647932131495228,0.37458756088780715,0.2381410607959103
0.6405090137857901,0.3729188971370243,0.23794395560130085
0.6352067868504772,0.3717390822480501,0.23789083594939853
0.6468716861081655,0.3755900217849183,0.23781848270223238
0.6500530222693531,0.3781874805842929,0.23744445054685523
0.6362672322375398,0.3690622116699603,0.23778949940189095
0.6394485683987274,0.37219908888314346,0.23735040347055797
0.6394485683987274,0.3750815326934097,0.23681411866026397
0.6288441145281018,0.3701482915051372,0.23652862338690417
0.6341463414634146,0.3686057480892197,0.2376650973850152
