hr,ndcg,loss
0.0793046357615894,0.0351253577815998,1.0
0.4947019867549669,0.2791706903068005,0.42843944542962703
0.6004966887417219,0.3418275112330105,0.30427203475302744
0.6463576158940397,0.37269357636637296,0.269353532381962
0.6624172185430464,0.3867518397956125,0.2525423809418231
0.6740066225165563,0.3977435927349984,0.2425220670179505
0.6841059602649007,0.4039513218661638,0.23564917556786116
0.686092715231788,0.4070526532592978,0.2303997094136664
0.6910596026490067,0.41103799858672496,0.22641820334560958
0.6915562913907285,0.41381515782067313,0.2229599978021375
0.6948675496688742,0.41632738332173236,0.22045227369962384
0.6925496688741721,0.41473819691895236,0.21823098364520147
0.6950331125827814,0.4174034230203959,0.21647423640017022
0.6966887417218544,0.41741753451952124,0.21484356099407306
0.6973509933774834,0.41787254242822147,0.21368364415848592
0.6943708609271523,0.4183789541160158,0.21221143496040978
0.6928807947019867,0.41473661931766626,0.21129344439132933
0.6932119205298013,0.4170663027136306,0.21063157911649505
0.6937086092715232,0.413479651714034,0.20984127983647854
0.6933774834437086,0.4140671416680806,0.2089769405310553
0.696523178807947,0.415409623396889,0.20881928564598312
