hr,ndcg,loss
0.09544008483563096,0.042147983449485615,1.0
0.3987274655355249,0.21001607834252303,0.3977428788823829
0.48038176033934255,0.2620414865846596,0.3571752464978744
0.5493107104984093,0.29012844871797955,0.3235239011950107
0.5641569459172853,0.31463005210839945,0.3014203633725302
0.5896076352067868,0.3299177648450642,0.2868544703193268
0.6086956521739131,0.33376914076955344,0.27372644947895747
0.6086956521739131,0.34562529709543743,0.26420933571115696
0.630965005302227,0.35998433820549747,0.2567101229469115
0.6288441145281018,0.35275476545035406,0.25116405343643433
0.630965005302227,0.355855400850137,0.24651498364018504
0.6383881230116649,0.35975698667703887,0.243649005750865
0.6383881230116649,0.3614952234761904,0.23997922728964186
0.6458112407211029,0.36537315207614546,0.2375624446090956
0.6458112407211029,0.3639458341372906,0.2354281931729551
0.6415694591728526,0.370204585944122,0.23240096794802806
0.6405090137857901,0.368153361899071,0.2301685683656466
0.6511134676564156,0.374393171250481,0.22984687373950252
0.6341463414634146,0.3699467965333377,0.22749210710874848
0.6373276776246023,0.37233255819097966,0.2262725801095647
0.6436903499469777,0.37576225073367203,0.22478293315233078
