hr,ndcg,loss
0.0837748344370861,0.03678796804836412,1.0
0.5695364238410596,0.3191515097563425,0.3398998684908701
0.6355960264900662,0.3673359675557197,0.26442345745545565
0.6549668874172185,0.3850327078035175,0.2432118041283946
0.6672185430463576,0.39696143230456055,0.23386520455504278
0.6753311258278145,0.40087107517006854,0.22644539986477114
0.6817880794701987,0.4053145412139027,0.2225662847095387
0.6842715231788079,0.40703962879784245,0.2238477264723083
0.686092715231788,0.4100965242157302,0.2202136143134233
0.6817880794701987,0.4080238363603009,0.21668696989005715
0.6875827814569536,0.40918712693797016,0.21657435031033548
0.6846026490066225,0.40890627857394346,0.2138420750187503
0.6779801324503312,0.4063825705949777,0.21210778653385154
0.6839403973509933,0.4091598267012465,0.21086885521951843
0.6841059602649007,0.40830533578321876,0.2097646106880063
0.6804635761589404,0.4085695226449209,0.20943452155229647
0.6798013245033112,0.4076231680997318,0.20900322107176783
0.6753311258278145,0.40574549062412024,0.20891175706261136
0.6764900662251656,0.4072301544262709,0.20662931220413513
0.6793046357615894,0.4059923848537412,0.2056715766685353
0.6793046357615894,0.4077123208927441,0.20449489696977521
