hr,ndcg,loss
0.10241271643485665,0.0465794186385561,1.0
0.21527107578768095,0.11424545225205562,0.865096189126087
0.5650865739426625,0.3584235602555333,0.663252587021001
0.619755889866591,0.3869262744483238,0.5036267533409019
0.6271927334657962,0.38651552558539115,0.4245839869295165
0.6299744535906897,0.38912924654245734,0.3865599314569763
0.6335509508941243,0.3985378272974928,0.36427136275390215
0.633210332103321,0.4033122187989326,0.3491705782016401
0.6374680669883622,0.4085552731695863,0.33718926476765954
0.6388305421515753,0.4121485443417736,0.3220940642713698
0.6413851830826001,0.41315122430436996,0.3065366506592858
0.6383196139653704,0.405578685506664,0.29074249194452734
0.6272495032642634,0.39152955586546784,0.27439826439297077
0.6047686630712461,0.3756363818736062,0.258373673185819
0.5663355095089413,0.3519271792497431,0.24200477304854306
0.5385750780584729,0.3374630274408376,0.2278083609097511
0.502242407039455,0.31719708093948273,0.21263918938523277
0.4770933863184786,0.30501201589597654,0.19631080366960088
0.4488787964802725,0.29047712676850135,0.1822707326342938
0.4280442804428044,0.2798945776382917,0.16959455864134362
0.4138518308260006,0.27273440928874226,0.15655761020916623
