hr,ndcg,loss
0.11558854718981973,0.051745392072353395,1.0
0.40084835630965004,0.2159425572783878,0.37251093226721704
0.5217391304347826,0.28492433924445065,0.3355247654102846
0.5546129374337222,0.3165183242443309,0.3059426313024511
0.5853658536585366,0.3185578108113795,0.2871148216189707
0.6002120890774125,0.32818122764594276,0.2738743858747198
0.623541887592789,0.34382882933566666,0.2642723289532774
0.6256627783669141,0.3447454747394171,0.2562437568777174
0.6426299045599152,0.3535320415041813,0.24834561506466685
0.6489925768822906,0.36644695468980043,0.24281616883309207
0.6352067868504772,0.35653874591533025,0.23833012641440784
0.6489925768822906,0.3639231320968849,0.2334431539301133
0.6532343584305408,0.3677467351495562,0.2292301683362506
0.6362672322375398,0.3610735597619174,0.22516756412561906
0.6373276776246023,0.3580025898837136,0.22092280242996115
0.6426299045599152,0.3659340000360738,0.2182098599272005
0.6383881230116649,0.3647135496806763,0.2152161380929045
0.6415694591728526,0.3703631350588172,0.21205646138053574
0.6383881230116649,0.37052929749616215,0.20833983544332432
0.6288441145281018,0.3592580881621524,0.20665317103682657
0.630965005302227,0.3615799624822628,0.20434389933935476
