hr,ndcg,loss
0.09437963944856839,0.04225995430341424,1.0
0.3753976670201485,0.19843304447490265,0.4696379724182934
0.47613997879109227,0.2576565404256991,0.3436921310973333
0.5111346765641569,0.28493318185769334,0.3160900251380424
0.5334040296924708,0.29872436741838143,0.29922991525906995
0.5641569459172853,0.311133121963701,0.28517933885900293
0.5758218451749735,0.32505137955279667,0.27646127047684804
0.5896076352067868,0.33107586355694835,0.27025962385657176
0.6055143160127253,0.3388935241498507,0.264550728580547
0.6139978791092259,0.3459940363984866,0.2595987422190064
0.6267232237539767,0.3457929711351332,0.25636197896760304
0.6277836691410392,0.3490137222058966,0.2520961294211429
0.6277836691410392,0.3526896923859302,0.2508929606379706
0.6362672322375398,0.3587546987319528,0.24967509938510637
0.630965005302227,0.35791774014408606,0.24704600822892833
0.6362672322375398,0.3583944357079793,0.24483673231587297
0.6288441145281018,0.3604256408089299,0.24361777461572034
0.6383881230116649,0.36362533362351396,0.24240880917280472
0.6500530222693531,0.3693315189694462,0.24223484099266301
0.6415694591728526,0.3635219503710314,0.24207350534618322
0.6447507953340403,0.3706089922901,0.2405413786419801
